"Team 1";"Team 2";"Score";"Etapa"
"PNG";"FLA";"0 - 1";"Week 1"
"PRG";"VK";"1 - 0";"Week 1"
"ITZ";"RDP";"0 - 1";"Week 1"
"FUR";"KBM";"1 - 0";"Week 1"
"FLA";"VK";"1 - 0";"Week 1"
"PRG";"FUR";"1 - 0";"Week 1"
"RDP";"KBM";"1 - 0";"Week 1"
"ITZ";"PNG";"0 - 1";"Week 1"
"RDP";"FUR";"0 - 1";"Week 2"
"KBM";"ITZ";"0 - 1";"Week 2"
"VK";"PNG";"1 - 0";"Week 2"
"FLA";"PRG";"1 - 0";"Week 2"
"VK";"ITZ";"1 - 0";"Week 2"
"PNG";"RDP";"1 - 0";"Week 2"
"FUR";"FLA";"1 - 0";"Week 2"
"PRG";"KBM";"1 - 0";"Week 2"
"ITZ";"PRG";"0 - 1";"Week 3"
"FLA";"RDP";"1 - 0";"Week 3"
"KBM";"PNG";"1 - 0";"Week 3"
"VK";"FUR";"1 - 0";"Week 3"
"KBM";"FLA";"0 - 1";"Week 3"
"FUR";"ITZ";"1 - 0";"Week 3"
"PNG";"PRG";"1 - 0";"Week 3"
"RDP";"VK";"0 - 1";"Week 3"
"PNG";"FUR";"1 - 0";"Week 4"
"VK";"KBM";"1 - 0";"Week 4"
"FLA";"ITZ";"1 - 0";"Week 4"
"PRG";"RDP";"1 - 0";"Week 4"
"FLA";"PNG";"1 - 0";"Week 4"
"RDP";"ITZ";"0 - 1";"Week 4"
"VK";"PRG";"1 - 0";"Week 4"
"KBM";"FUR";"1 - 0";"Week 4"
"KBM";"RDP";"1 - 0";"Week 5"
"PNG";"ITZ";"1 - 0";"Week 5"
"FUR";"PRG";"1 - 0";"Week 5"
"VK";"FLA";"1 - 0";"Week 5"
"ITZ";"KBM";"1 - 0";"Week 5"
"PRG";"FLA";"1 - 0";"Week 5"
"PNG";"VK";"0 - 1";"Week 5"
"FUR";"RDP";"0 - 1";"Week 5"
"ITZ";"VK";"1 - 0";"Week 6"
"FLA";"FUR";"1 - 0";"Week 6"
"KBM";"PRG";"1 - 0";"Week 6"
"RDP";"PNG";"0 - 1";"Week 6"
"FUR";"VK";"0 - 1";"Week 6"
"PNG";"KBM";"1 - 0";"Week 6"
"RDP";"FLA";"1 - 0";"Week 6"
"PRG";"ITZ";"1 - 0";"Week 6"
"PRG";"PNG";"0 - 1";"Week 7"
"VK";"RDP";"1 - 0";"Week 7"
"ITZ";"FUR";"1 - 0";"Week 7"
"FLA";"KBM";"1 - 0";"Week 7"
"RDP";"PRG";"0 - 1";"Week 7"
"KBM";"VK";"1 - 0";"Week 7"
"ITZ";"FLA";"0 - 1";"Week 7"
"FUR";"PNG";"1 - 0";"Week 7"
"ITZ";"RDP";"1 - 0";"Week 7"
"PRG";"VK";"0 - 1";"Week 7"
"FUR";"KBM";"1 - 0";"Week 7"
"FLA";"PNG";"0 - 1";"Week 7"
"PRG";"FUR";"0 - 1";"Week 8"
"ITZ";"PNG";"1 - 0";"Week 8"
"RDP";"KBM";"0 - 1";"Week 8"
"FLA";"VK";"0 - 1";"Week 8"
"VK";"PNG";"1 - 0";"Week 8"
"KBM";"ITZ";"1 - 0";"Week 8"
"FLA";"PRG";"0 - 1";"Week 8"
"RDP";"FUR";"0 - 1";"Week 8"
"PRG";"KBM";"0 - 1";"Week 8"
"FUR";"FLA";"0 - 1";"Week 8"
"ITZ";"VK";"1 - 0";"Week 8"
"PNG";"RDP";"0 - 1";"Week 8"
"VK";"FUR";"1 - 0";"Week 9"
"KBM";"PNG";"1 - 0";"Week 9"
"FLA";"RDP";"1 - 0";"Week 9"
"ITZ";"PRG";"0 - 1";"Week 9"
"KBM";"FLA";"1 - 0";"Week 9"
"RDP";"VK";"1 - 0";"Week 9"
"FUR";"ITZ";"1 - 0";"Week 9"
"PNG";"PRG";"1 - 0";"Week 9"
"PRG";"RDP";"1 - 0";"Week 9"
"PNG";"FUR";"0 - 1";"Week 9"
"VK";"KBM";"0 - 1";"Week 9"
"FLA";"ITZ";"1 - 0";"Week 9"
