"Team 1";"Team 2";"Score";"Etapa"
"T1";"DWG";"2 - 1";"Week 1"
"KT";"GEN";"1 - 2";"Week 1"
"SB";"APK";"2 - 0";"Week 1"
"GRF";"AF";"0 - 2";"Week 1"
"HLE";"T1";"2 - 1";"Week 1"
"DRX";"KT";"2 - 1";"Week 1"
"APK";"DWG";"0 - 2";"Week 1"
"GEN";"GRF";"2 - 0";"Week 1"
"SB";"DRX";"1 - 2";"Week 1"
"AF";"HLE";"2 - 1";"Week 1"
"APK";"AF";"1 - 2";"Week 2"
"GRF";"SB";"2 - 1";"Week 2"
"KT";"T1";"0 - 2";"Week 2"
"DRX";"HLE";"2 - 0";"Week 2"
"DWG";"GEN";"0 - 2";"Week 2"
"GRF";"APK";"2 - 1";"Week 2"
"AF";"DRX";"1 - 2";"Week 2"
"HLE";"SB";"2 - 0";"Week 2"
"DWG";"KT";"2 - 0";"Week 2"
"T1";"GEN";"2 - 1";"Week 2"
"GEN";"HLE";"2 - 0";"Week 3"
"DRX";"T1";"1 - 2";"Week 3"
"GRF";"DWG";"1 - 2";"Week 3"
"KT";"APK";"0 - 2";"Week 3"
"SB";"AF";"1 - 2";"Week 3"
"DRX";"GEN";"1 - 2";"Week 3"
"HLE";"GRF";"2 - 1";"Week 3"
"APK";"T1";"0 - 2";"Week 3"
"AF";"KT";"1 - 2";"Week 3"
"SB";"DWG";"2 - 0";"Week 3"
"KT";"SB";"2 - 1";"Week 4"
"T1";"GRF";"2 - 0";"Week 4"
"GEN";"AF";"2 - 1";"Week 4"
"HLE";"DWG";"1 - 2";"Week 4"
"APK";"DRX";"0 - 2";"Week 4"
"T1";"SB";"2 - 0";"Week 4"
"KT";"HLE";"2 - 0";"Week 4"
"DWG";"AF";"1 - 2";"Week 4"
"GEN";"APK";"2 - 0";"Week 4"
"DRX";"GRF";"2 - 0";"Week 4"
"DWG";"DRX";"0 - 2";"Week 5"
"HLE";"APK";"0 - 2";"Week 5"
"SB";"GEN";"0 - 2";"Week 5"
"AF";"T1";"2 - 1";"Week 5"
"GRF";"KT";"1 - 2";"Week 5"
"GEN";"GRF";"2 - 0";"Week 6"
"DWG";"KT";"1 - 2";"Week 6"
"HLE";"DRX";"2 - 1";"Week 6"
"AF";"SB";"0 - 2";"Week 6"
"T1";"APK";"2 - 0";"Week 6"
"GEN";"DWG";"2 - 0";"Week 6"
"HLE";"KT";"0 - 2";"Week 6"
"SB";"GRF";"2 - 1";"Week 6"
"DRX";"T1";"0 - 2";"Week 6"
"DWG";"APK";"2 - 0";"Week 6"
"AF";"GEN";"0 - 2";"Week 6"
"GRF";"DRX";"0 - 2";"Week 6"
"T1";"HLE";"2 - 1";"Week 6"
"APK";"SB";"2 - 0";"Week 6"
"KT";"AF";"2 - 1";"Week 6"
"SB";"DRX";"1 - 2";"Week 7"
"KT";"GRF";"2 - 1";"Week 7"
"GEN";"T1";"1 - 2";"Week 7"
"APK";"AF";"2 - 0";"Week 7"
"HLE";"DWG";"0 - 2";"Week 7"
"KT";"DRX";"0 - 2";"Week 7"
"GEN";"SB";"2 - 0";"Week 7"
"T1";"GRF";"2 - 1";"Week 7"
"AF";"DWG";"0 - 2";"Week 7"
"KT";"APK";"1 - 2";"Week 7"
"SB";"HLE";"2 - 1";"Week 7"
"DRX";"GEN";"2 - 0";"Week 7"
"T1";"DWG";"0 - 2";"Week 7"
"GRF";"APK";"2 - 1";"Week 7"
"AF";"HLE";"0 - 2";"Week 7"
"DWG";"GRF";"0 - 2";"Week 8"
"APK";"GEN";"1 - 2";"Week 8"
"T1";"SB";"2 - 0";"Week 8"
"GRF";"AF";"0 - 2";"Week 8"
"DRX";"DWG";"2 - 1";"Week 8"
"KT";"T1";"2 - 0";"Week 8"
"HLE";"APK";"1 - 2";"Week 8"
"SB";"KT";"0 - 2";"Week 8"
"DRX";"AF";"2 - 1";"Week 8"
"HLE";"GEN";"2 - 1";"Week 8"
"GEN";"KT";"2 - 1";"Week 9"
"AF";"T1";"0 - 2";"Week 9"
"DWG";"SB";"2 - 1";"Week 9"
"GRF";"HLE";"2 - 0";"Week 9"
"APK";"DRX";"1 - 2";"Week 9"
