"Team 1";"Team 2";"Score";"Etapa"
"UOL";"VEG";"1 - 0";"Week 1"
"DA";"GMB";"0 - 1";"Week 1"
"EPG";"CC";"1 - 0";"Week 1"
"RoX";"M19";"1 - 0";"Week 1"
"DA";"RoX";"0 - 1";"Week 1"
"CC";"VEG";"1 - 0";"Week 1"
"GMB";"M19";"1 - 0";"Week 1"
"EPG";"UOL";"0 - 1";"Week 1"
"EPG";"RoX";"0 - 1";"Week 2"
"CC";"DA";"1 - 0";"Week 2"
"M19";"VEG";"0 - 1";"Week 2"
"GMB";"UOL";"0 - 1";"Week 2"
"EPG";"DA";"1 - 0";"Week 2"
"CC";"RoX";"0 - 1";"Week 2"
"VEG";"GMB";"1 - 0";"Week 2"
"M19";"UOL";"0 - 1";"Week 2"
"CC";"M19";"1 - 0";"Week 3"
"VEG";"EPG";"1 - 0";"Week 3"
"UOL";"DA";"1 - 0";"Week 3"
"RoX";"GMB";"1 - 0";"Week 3"
"GMB";"EPG";"0 - 1";"Week 3"
"UOL";"CC";"1 - 0";"Week 3"
"DA";"M19";"1 - 0";"Week 3"
"VEG";"RoX";"0 - 1";"Week 3"
"VEG";"DA";"0 - 1";"Week 4"
"GMB";"CC";"1 - 0";"Week 4"
"M19";"EPG";"0 - 1";"Week 4"
"RoX";"UOL";"1 - 0";"Week 4"
"VEG";"UOL";"0 - 1";"Week 4"
"GMB";"DA";"1 - 0";"Week 4"
"CC";"EPG";"0 - 1";"Week 4"
"M19";"RoX";"0 - 1";"Week 4"
"RoX";"DA";"1 - 0";"Week 5"
"VEG";"CC";"0 - 1";"Week 5"
"M19";"GMB";"0 - 1";"Week 5"
"UOL";"EPG";"1 - 0";"Week 5"
"RoX";"EPG";"1 - 0";"Week 5"
"DA";"CC";"0 - 1";"Week 5"
"VEG";"M19";"0 - 1";"Week 5"
"UOL";"GMB";"1 - 0";"Week 5"
"DA";"EPG";"0 - 1";"Week 6"
"RoX";"CC";"1 - 0";"Week 6"
"GMB";"VEG";"1 - 0";"Week 6"
"UOL";"M19";"1 - 0";"Week 6"
"M19";"CC";"0 - 1";"Week 6"
"EPG";"VEG";"0 - 1";"Week 6"
"DA";"UOL";"0 - 1";"Week 6"
"GMB";"RoX";"0 - 1";"Week 6"
"EPG";"GMB";"1 - 0";"Week 7"
"CC";"UOL";"0 - 1";"Week 7"
"M19";"DA";"1 - 0";"Week 7"
"RoX";"VEG";"1 - 0";"Week 7"
"DA";"VEG";"1 - 0";"Week 7"
"CC";"GMB";"0 - 1";"Week 7"
"EPG";"M19";"0 - 1";"Week 7"
"UOL";"RoX";"1 - 0";"Week 7"
"M19";"DA";"0 - 1";"Tiebreakers"
"UOL";"RoX";"0 - 1";"Tiebreakers"
