"Team 1";"Team 2";"Score";"Etapa"
"C9";"TL";"1 - 0";"Week 1"
"CLG";"DIG";"0 - 1";"Week 1"
"100";"GG";"1 - 0";"Week 1"
"IMT";"FLY";"0 - 1";"Week 1"
"DIG";"EG";"1 - 0";"Week 1"
"TSM";"IMT";"0 - 1";"Week 1"
"GG";"C9";"0 - 1";"Week 1"
"FLY";"CLG";"1 - 0";"Week 1"
"EG";"100";"1 - 0";"Week 1"
"TL";"TSM";"1 - 0";"Week 1"
"CLG";"100";"0 - 1";"Week 2"
"DIG";"TL";"1 - 0";"Week 2"
"C9";"IMT";"1 - 0";"Week 2"
"GG";"EG";"1 - 0";"Week 2"
"TL";"FLY";"1 - 0";"Week 2"
"EG";"TSM";"0 - 1";"Week 2"
"100";"C9";"0 - 1";"Week 2"
"IMT";"GG";"1 - 0";"Week 2"
"FLY";"DIG";"1 - 0";"Week 2"
"TSM";"CLG";"1 - 0";"Week 2"
"EG";"CLG";"0 - 1";"Week 3"
"100";"TL";"1 - 0";"Week 3"
"TSM";"DIG";"1 - 0";"Week 3"
"C9";"FLY";"1 - 0";"Week 3"
"IMT";"100";"1 - 0";"Week 3"
"GG";"TSM";"0 - 1";"Week 3"
"DIG";"C9";"0 - 1";"Week 3"
"FLY";"EG";"0 - 1";"Week 3"
"TL";"GG";"0 - 1";"Week 3"
"CLG";"IMT";"0 - 1";"Week 3"
"TL";"IMT";"0 - 1";"Week 4"
"C9";"TSM";"1 - 0";"Week 4"
"GG";"CLG";"1 - 0";"Week 4"
"100";"DIG";"0 - 1";"Week 4"
"DIG";"GG";"0 - 1";"Week 4"
"CLG";"TL";"0 - 1";"Week 4"
"TSM";"FLY";"0 - 1";"Week 4"
"IMT";"EG";"0 - 1";"Week 4"
"FLY";"100";"1 - 0";"Week 4"
"EG";"C9";"0 - 1";"Week 4"
"100";"TSM";"0 - 1";"Week 5"
"CLG";"C9";"0 - 1";"Week 5"
"DIG";"IMT";"1 - 0";"Week 5"
"GG";"FLY";"0 - 1";"Week 5"
"TL";"EG";"0 - 1";"Week 5"
"IMT";"C9";"0 - 1";"Week 5"
"100";"GG";"1 - 0";"Week 5"
"FLY";"CLG";"1 - 0";"Week 5"
"TL";"DIG";"1 - 0";"Week 5"
"TSM";"EG";"1 - 0";"Week 5"
"FLY";"C9";"0 - 1";"Week 6"
"TL";"TSM";"1 - 0";"Week 6"
"GG";"IMT";"1 - 0";"Week 6"
"100";"EG";"1 - 0";"Week 6"
"100";"TL";"0 - 1";"Week 6"
"FLY";"DIG";"1 - 0";"Week 6"
"CLG";"TSM";"1 - 0";"Week 6"
"GG";"EG";"0 - 1";"Week 6"
"CLG";"IMT";"0 - 1";"Week 6"
"DIG";"C9";"0 - 1";"Week 6"
"C9";"TSM";"0 - 1";"Week 7"
"100";"DIG";"1 - 0";"Week 7"
"TL";"CLG";"0 - 1";"Week 7"
"FLY";"EG";"0 - 1";"Week 7"
"100";"IMT";"1 - 0";"Week 7"
"FLY";"TSM";"0 - 1";"Week 7"
"GG";"DIG";"1 - 0";"Week 7"
"CLG";"EG";"0 - 1";"Week 7"
"TL";"IMT";"0 - 1";"Week 7"
"GG";"C9";"0 - 1";"Week 7"
"GG";"TSM";"0 - 1";"Week 8"
"100";"C9";"0 - 1";"Week 8"
"TL";"EG";"0 - 1";"Week 8"
"CLG";"DIG";"0 - 1";"Week 8"
"FLY";"IMT";"1 - 0";"Week 8"
"GG";"TL";"0 - 1";"Week 8"
"CLG";"C9";"0 - 1";"Week 8"
"IMT";"TSM";"1 - 0";"Week 8"
"100";"FLY";"1 - 0";"Week 8"
"DIG";"EG";"0 - 1";"Week 8"
"100";"TSM";"1 - 0";"Week 9"
"C9";"EG";"1 - 0";"Week 9"
"FLY";"TL";"1 - 0";"Week 9"
"GG";"CLG";"1 - 0";"Week 9"
"DIG";"IMT";"1 - 0";"Week 9"
"GG";"FLY";"1 - 0";"Week 9"
"DIG";"TSM";"1 - 0";"Week 9"
"IMT";"EG";"0 - 1";"Week 9"
"TL";"C9";"0 - 1";"Week 9"
"100";"CLG";"1 - 0";"Week 9"
"DIG";"IMT";"1 - 0";"Tiebreakers"
"100";"FLY";"1 - 0";"Tiebreakers"
"GG";"DIG";"1 - 0";"Tiebreakers"
"EG";"100";"1 - 0";"Tiebreakers"
