"Team 1";"Team 2";"Score";"Etapa"
"G2";"MAD";"1 - 0";"Week 1"
"VIT";"SK";"0 - 1";"Week 1"
"MSF";"RGE";"0 - 1";"Week 1"
"S04";"XL";"0 - 1";"Week 1"
"FNC";"OG";"0 - 1";"Week 1"
"VIT";"MAD";"0 - 1";"Week 1"
"RGE";"XL";"1 - 0";"Week 1"
"S04";"OG";"0 - 1";"Week 1"
"MSF";"FNC";"0 - 1";"Week 1"
"G2";"SK";"1 - 0";"Week 1"
"RGE";"OG";"0 - 1";"Week 2"
"MSF";"SK";"1 - 0";"Week 2"
"VIT";"G2";"0 - 1";"Week 2"
"MAD";"XL";"0 - 1";"Week 2"
"S04";"FNC";"0 - 1";"Week 2"
"MSF";"XL";"1 - 0";"Week 2"
"S04";"MAD";"0 - 1";"Week 2"
"VIT";"RGE";"0 - 1";"Week 2"
"FNC";"SK";"1 - 0";"Week 2"
"G2";"OG";"1 - 0";"Week 2"
"MAD";"SK";"1 - 0";"Week 3"
"S04";"MSF";"0 - 1";"Week 3"
"FNC";"XL";"1 - 0";"Week 3"
"VIT";"OG";"0 - 1";"Week 3"
"G2";"RGE";"1 - 0";"Week 3"
"S04";"SK";"0 - 1";"Week 3"
"VIT";"XL";"0 - 1";"Week 3"
"MAD";"RGE";"1 - 0";"Week 3"
"MSF";"OG";"1 - 0";"Week 3"
"G2";"FNC";"1 - 0";"Week 3"
"MAD";"OG";"0 - 1";"Week 4"
"XL";"SK";"1 - 0";"Week 4"
"VIT";"FNC";"0 - 1";"Week 4"
"S04";"RGE";"0 - 1";"Week 4"
"MSF";"G2";"1 - 0";"Week 4"
"VIT";"MSF";"0 - 1";"Week 4"
"RGE";"SK";"1 - 0";"Week 4"
"S04";"G2";"1 - 0";"Week 4"
"XL";"OG";"0 - 1";"Week 4"
"FNC";"MAD";"0 - 1";"Week 4"
"MSF";"MAD";"1 - 0";"Week 5"
"VIT";"S04";"0 - 1";"Week 5"
"XL";"G2";"0 - 1";"Week 5"
"OG";"SK";"1 - 0";"Week 5"
"RGE";"FNC";"0 - 1";"Week 5"
"SK";"VIT";"0 - 1";"Week 5"
"XL";"S04";"1 - 0";"Week 5"
"MSF";"RGE";"0 - 1";"Week 5"
"MAD";"G2";"1 - 0";"Week 5"
"OG";"FNC";"0 - 1";"Week 5"
"RGE";"XL";"1 - 0";"Week 6"
"VIT";"MAD";"0 - 1";"Week 6"
"FNC";"MSF";"1 - 0";"Week 6"
"S04";"OG";"0 - 1";"Week 6"
"G2";"SK";"1 - 0";"Week 6"
"MSF";"SK";"1 - 0";"Week 6"
"MAD";"XL";"0 - 1";"Week 6"
"FNC";"S04";"1 - 0";"Week 6"
"RGE";"OG";"0 - 1";"Week 6"
"G2";"VIT";"1 - 0";"Week 6"
"VIT";"RGE";"0 - 1";"Week 7"
"S04";"MAD";"0 - 1";"Week 7"
"SK";"FNC";"0 - 1";"Week 7"
"XL";"MSF";"0 - 1";"Week 7"
"OG";"G2";"0 - 1";"Week 7"
"SK";"S04";"0 - 1";"Week 7"
"VIT";"XL";"0 - 1";"Week 7"
"RGE";"MAD";"1 - 0";"Week 7"
"MSF";"OG";"0 - 1";"Week 7"
"FNC";"G2";"0 - 1";"Week 7"
"MAD";"SK";"1 - 0";"Week 8"
"S04";"MSF";"1 - 0";"Week 8"
"XL";"FNC";"0 - 1";"Week 8"
"G2";"RGE";"1 - 0";"Week 8"
"OG";"VIT";"1 - 0";"Week 8"
"S04";"VIT";"1 - 0";"Week 8"
"SK";"OG";"0 - 1";"Week 8"
"MAD";"MSF";"1 - 0";"Week 8"
"G2";"XL";"1 - 0";"Week 8"
"FNC";"RGE";"1 - 0";"Week 8"
"RGE";"SK";"0 - 1";"Week 9"
"VIT";"MSF";"0 - 1";"Week 9"
"G2";"S04";"1 - 0";"Week 9"
"XL";"OG";"0 - 1";"Week 9"
"MAD";"FNC";"0 - 1";"Week 9"
"SK";"XL";"1 - 0";"Week 9"
"S04";"RGE";"1 - 0";"Week 9"
"OG";"MAD";"0 - 1";"Week 9"
"FNC";"VIT";"0 - 1";"Week 9"
"MSF";"G2";"0 - 1";"Week 9"
