"Team 1";"Team 2";"Score";"Etapa"
"DFM";"V3";"1 - 0";"Week 1"
"V3";"AXZ";"1 - 0";"Week 1"
"AXZ";"BC";"0 - 1";"Week 1"
"BC";"DFM";"0 - 1";"Week 1"
"CGA";"SHG";"1 - 0";"Week 1"
"SHG";"SG";"1 - 0";"Week 1"
"SG";"RJ";"1 - 0";"Week 1"
"RJ";"CGA";"1 - 0";"Week 1"
"V3";"SG";"0 - 1";"Week 2"
"BC";"V3";"0 - 1";"Week 2"
"CGA";"BC";"1 - 0";"Week 2"
"SG";"CGA";"0 - 1";"Week 2"
"DFM";"AXZ";"1 - 0";"Week 2"
"RJ";"DFM";"0 - 1";"Week 2"
"SHG";"RJ";"1 - 0";"Week 2"
"AXZ";"SHG";"0 - 1";"Week 2"
"RJ";"AXZ";"0 - 1";"Week 3"
"AXZ";"CGA";"0 - 1";"Week 3"
"CGA";"V3";"0 - 1";"Week 3"
"V3";"RJ";"0 - 1";"Week 3"
"SHG";"DFM";"0 - 1";"Week 3"
"BC";"SHG";"1 - 0";"Week 3"
"BC";"SG";"1 - 0";"Week 3"
"DFM";"SG";"1 - 0";"Week 3"
"SHG";"AXZ";"0 - 1";"Week 4"
"SG";"AXZ";"1 - 0";"Week 4"
"SG";"V3";"1 - 0";"Week 4"
"V3";"SHG";"0 - 1";"Week 4"
"BC";"CGA";"1 - 0";"Week 4"
"CGA";"DFM";"0 - 1";"Week 4"
"DFM";"RJ";"1 - 0";"Week 4"
"RJ";"BC";"1 - 0";"Week 4"
"AXZ";"RJ";"1 - 0";"Week 5"
"BC";"RJ";"0 - 1";"Week 5"
"DFM";"BC";"1 - 0";"Week 5"
"AXZ";"V3";"1 - 0";"Week 5"
"SG";"DFM";"1 - 0";"Week 5"
"SHG";"V3";"0 - 1";"Week 5"
"CGA";"SG";"0 - 1";"Week 5"
"SHG";"CGA";"0 - 1";"Week 5"
"DFM";"CGA";"1 - 0";"Week 6"
"DFM";"SHG";"1 - 0";"Week 6"
"SG";"SHG";"1 - 0";"Week 6"
"CGA";"RJ";"0 - 1";"Week 6"
"AXZ";"SG";"0 - 1";"Week 6"
"BC";"AXZ";"0 - 1";"Week 6"
"RJ";"V3";"0 - 1";"Week 6"
"V3";"BC";"1 - 0";"Week 6"
"RJ";"SG";"1 - 0";"Week 7"
"SG";"BC";"1 - 0";"Week 7"
"SHG";"BC";"0 - 1";"Week 7"
"RJ";"SHG";"1 - 0";"Week 7"
"V3";"DFM";"1 - 0";"Week 7"
"AXZ";"DFM";"0 - 1";"Week 7"
"CGA";"AXZ";"0 - 1";"Week 7"
"V3";"CGA";"1 - 0";"Week 7"
"BC";"CGA";"0 - 1";"Tiebreakers"
