"Team 1";"Team 2";"Score";"Etapa"
"ISG";"INF";"1 - 0";"Week 1"
"FG";"AK";"0 - 1";"Week 1"
"AZU";"PIX";"0 - 1";"Week 1"
"XTEN";"R7";"0 - 1";"Week 1"
"INF";"R7";"1 - 0";"Week 1"
"XTEN";"AK";"0 - 1";"Week 1"
"FG";"PIX";"0 - 1";"Week 1"
"ISG";"AZU";"1 - 0";"Week 1"
"AK";"INF";"0 - 1";"Week 2"
"PIX";"XTEN";"0 - 1";"Week 2"
"AZU";"FG";"1 - 0";"Week 2"
"R7";"ISG";"1 - 0";"Week 2"
"AK";"ISG";"1 - 0";"Week 2"
"R7";"AZU";"1 - 0";"Week 2"
"XTEN";"FG";"0 - 1";"Week 2"
"INF";"PIX";"1 - 0";"Week 2"
"R7";"AK";"0 - 1";"Week 3"
"FG";"INF";"0 - 1";"Week 3"
"AZU";"XTEN";"0 - 1";"Week 3"
"ISG";"PIX";"1 - 0";"Week 3"
"INF";"XTEN";"1 - 0";"Week 3"
"ISG";"FG";"1 - 0";"Week 3"
"AK";"AZU";"1 - 0";"Week 3"
"PIX";"R7";"0 - 1";"Week 3"
"R7";"FG";"1 - 0";"Week 4"
"XTEN";"ISG";"0 - 1";"Week 4"
"PIX";"AK";"0 - 1";"Week 4"
"AZU";"INF";"0 - 1";"Week 4"
"INF";"ISG";"1 - 0";"Week 4"
"R7";"XTEN";"1 - 0";"Week 4"
"PIX";"AZU";"1 - 0";"Week 4"
"AK";"FG";"1 - 0";"Week 4"
"R7";"INF";"1 - 0";"Week 5"
"PIX";"FG";"1 - 0";"Week 5"
"AZU";"ISG";"0 - 1";"Week 5"
"AK";"XTEN";"1 - 0";"Week 5"
"ISG";"R7";"0 - 1";"Week 5"
"XTEN";"PIX";"1 - 0";"Week 5"
"FG";"AZU";"0 - 1";"Week 5"
"INF";"AK";"1 - 0";"Week 5"
"ISG";"AK";"1 - 0";"Week 6"
"FG";"XTEN";"0 - 1";"Week 6"
"AZU";"R7";"0 - 1";"Week 6"
"PIX";"INF";"0 - 1";"Week 6"
"PIX";"ISG";"0 - 1";"Week 6"
"INF";"FG";"1 - 0";"Week 6"
"XTEN";"AZU";"1 - 0";"Week 6"
"AK";"R7";"1 - 0";"Week 6"
"R7";"PIX";"1 - 0";"Week 7"
"XTEN";"INF";"1 - 0";"Week 7"
"AZU";"AK";"0 - 1";"Week 7"
"FG";"ISG";"0 - 1";"Week 7"
"AK";"PIX";"1 - 0";"Week 7"
"ISG";"XTEN";"1 - 0";"Week 7"
"FG";"R7";"1 - 0";"Week 7"
"INF";"AZU";"1 - 0";"Week 7"
"INF";"ISG";"0 - 1";"Week 8"
"AK";"R7";"1 - 0";"Week 8"
"ISG";"XTEN";"1 - 0";"Week 8"
"R7";"INF";"1 - 0";"Week 8"
"AK";"XTEN";"1 - 0";"Week 8"
"R7";"ISG";"1 - 0";"Week 8"
"XTEN";"INF";"0 - 1";"Week 8"
"ISG";"AK";"0 - 1";"Week 8"
"XTEN";"R7";"0 - 1";"Week 8"
"INF";"AK";"1 - 0";"Week 8"
