"Team 1";"Team 2";"Score";"Etapa"
"iG";"FPX";"2 - 1";"Week 1"
"LGD";"LNG";"1 - 2";"Week 1"
"ES";"RW";"2 - 0";"Week 1"
"OMG";"JDG";"0 - 2";"Week 1"
"VG";"BLG";"1 - 2";"Week 1"
"iG";"DMO";"2 - 0";"Week 1"
"V5";"EDG";"0 - 2";"Week 1"
"RW";"SN";"2 - 0";"Week 1"
"FPX";"ES";"1 - 2";"Week 1"
"LNG";"TES";"0 - 2";"Week 1"
"JDG";"WE";"2 - 0";"Week 1"
"BLG";"RNG";"2 - 1";"Week 1"
"VG";"DMO";"2 - 1";"Week 1"
"EDG";"TES";"1 - 2";"Week 1"
"LNG";"OMG";"1 - 2";"Week 2"
"FPX";"JDG";"2 - 1";"Week 2"
"RNG";"TES";"2 - 0";"Week 2"
"DMO";"LGD";"2 - 0";"Week 2"
"ES";"SN";"2 - 1";"Week 2"
"RNG";"OMG";"2 - 1";"Week 2"
"V5";"WE";"0 - 2";"Week 2"
"VG";"iG";"0 - 2";"Week 2"
"ES";"LGD";"2 - 0";"Week 2"
"BLG";"LNG";"1 - 2";"Week 2"
"SN";"EDG";"2 - 0";"Week 2"
"OMG";"RW";"2 - 0";"Week 2"
"WE";"VG";"2 - 0";"Week 2"
"DMO";"FPX";"0 - 2";"Week 2"
"JDG";"V5";"2 - 0";"Week 2"
"EDG";"ES";"2 - 0";"Week 2"
"BLG";"SN";"0 - 2";"Week 2"
"RW";"iG";"1 - 2";"Week 2"
"WE";"RNG";"0 - 2";"Week 2"
"TES";"LGD";"0 - 2";"Week 2"
"V5";"ES";"0 - 2";"Week 3"
"BLG";"OMG";"1 - 2";"Week 3"
"VG";"JDG";"1 - 2";"Week 3"
"EDG";"RW";"1 - 2";"Week 3"
"WE";"FPX";"0 - 2";"Week 3"
"V5";"LNG";"1 - 2";"Week 3"
"TES";"VG";"2 - 1";"Week 3"
"JDG";"BLG";"2 - 0";"Week 3"
"DMO";"WE";"0 - 2";"Week 3"
"iG";"LGD";"2 - 1";"Week 3"
"SN";"FPX";"0 - 2";"Week 3"
"LNG";"RW";"2 - 0";"Week 3"
"EDG";"JDG";"2 - 1";"Week 3"
"RNG";"VG";"0 - 2";"Week 3"
"OMG";"DMO";"2 - 0";"Week 3"
"ES";"BLG";"2 - 1";"Week 3"
"TES";"iG";"0 - 2";"Week 3"
"RW";"V5";"2 - 0";"Week 3"
"LGD";"SN";"1 - 2";"Week 3"
"FPX";"RNG";"2 - 0";"Week 3"
"TES";"DMO";"2 - 0";"Week 4"
"EDG";"VG";"2 - 1";"Week 4"
"ES";"iG";"2 - 0";"Week 4"
"WE";"RW";"2 - 1";"Week 4"
"SN";"LNG";"2 - 1";"Week 4"
"V5";"OMG";"0 - 2";"Week 4"
"TES";"JDG";"2 - 0";"Week 4"
"BLG";"FPX";"1 - 2";"Week 4"
"RW";"DMO";"0 - 2";"Week 4"
"SN";"WE";"1 - 2";"Week 4"
"VG";"LGD";"2 - 0";"Week 4"
"FPX";"OMG";"2 - 1";"Week 4"
"LNG";"ES";"1 - 2";"Week 4"
"RNG";"JDG";"2 - 0";"Week 4"
"LGD";"V5";"2 - 0";"Week 4"
"BLG";"WE";"2 - 1";"Week 4"
"iG";"SN";"2 - 0";"Week 4"
"ES";"DMO";"2 - 0";"Week 4"
"OMG";"TES";"0 - 2";"Week 4"
"RNG";"EDG";"2 - 1";"Week 4"
"VG";"LNG";"2 - 1";"Week 5"
"V5";"FPX";"0 - 2";"Week 5"
"JDG";"SN";"2 - 1";"Week 5"
"LGD";"EDG";"1 - 2";"Week 5"
"OMG";"iG";"0 - 2";"Week 5"
"DMO";"LNG";"2 - 0";"Week 5"
"ES";"VG";"1 - 2";"Week 5"
"V5";"RNG";"0 - 2";"Week 5"
"LGD";"WE";"2 - 1";"Week 5"
"RW";"BLG";"2 - 0";"Week 5"
"SN";"TES";"1 - 2";"Week 5"
"EDG";"DMO";"2 - 0";"Week 5"
"iG";"V5";"2 - 0";"Week 5"
"RNG";"ES";"2 - 0";"Week 5"
"JDG";"LNG";"2 - 0";"Week 5"
"BLG";"EDG";"1 - 2";"Week 5"
"RNG";"iG";"1 - 2";"Week 5"
"SN";"V5";"2 - 0";"Week 6"
"OMG";"VG";"2 - 1";"Week 6"
"TES";"RW";"2 - 1";"Week 6"
"DMO";"BLG";"1 - 2";"Week 6"
"ES";"JDG";"0 - 2";"Week 6"
"LNG";"FPX";"0 - 2";"Week 6"
"RW";"VG";"2 - 1";"Week 6"
"SN";"OMG";"0 - 2";"Week 6"
"WE";"TES";"2 - 1";"Week 6"
"LGD";"RNG";"2 - 0";"Week 6"
"LNG";"EDG";"0 - 2";"Week 6"
"JDG";"iG";"2 - 0";"Week 6"
"DMO";"V5";"2 - 0";"Week 6"
"FPX";"VG";"1 - 2";"Week 6"
"TES";"BLG";"0 - 2";"Week 6"
"OMG";"LGD";"0 - 2";"Week 6"
"WE";"ES";"0 - 2";"Week 6"
"RNG";"RW";"1 - 2";"Week 6"
"DMO";"SN";"2 - 1";"Week 6"
"FPX";"EDG";"2 - 1";"Week 6"
"iG";"BLG";"2 - 1";"Week 6"
"OMG";"ES";"0 - 2";"Week 7"
"LNG";"RNG";"0 - 2";"Week 7"
"V5";"TES";"0 - 2";"Week 7"
"RW";"JDG";"0 - 2";"Week 7"
"VG";"SN";"1 - 2";"Week 7"
"LGD";"BLG";"0 - 2";"Week 7"
"EDG";"OMG";"2 - 0";"Week 7"
"DMO";"RNG";"2 - 0";"Week 7"
"iG";"WE";"2 - 1";"Week 7"
"BLG";"V5";"2 - 0";"Week 7"
"LGD";"FPX";"0 - 2";"Week 7"
"TES";"ES";"2 - 0";"Week 7"
"LNG";"WE";"2 - 1";"Week 7"
"JDG";"DMO";"2 - 0";"Week 7"
"EDG";"iG";"0 - 2";"Week 7"
"VG";"V5";"2 - 0";"Week 7"
"FPX";"RW";"2 - 1";"Week 7"
"SN";"RNG";"2 - 1";"Week 7"
"JDG";"LGD";"2 - 0";"Week 7"
"WE";"EDG";"2 - 1";"Week 7"
"iG";"LNG";"2 - 1";"Week 7"
"RW";"LGD";"2 - 1";"Week 7"
"WE";"OMG";"2 - 1";"Week 7"
"FPX";"TES";"0 - 2";"Week 7"
