"Team 1";"Team 2";"Score";"Etapa"
"Av";"LGC";"0 - 1";"Week 1"
"ORD";"GRV";"1 - 0";"Week 1"
"PGG";"CHF";"0 - 1";"Week 1"
"MMM";"DW";"0 - 1";"Week 1"
"LGC";"ORD";"1 - 0";"Week 1"
"GRV";"MMM";"1 - 0";"Week 1"
"DW";"PGG";"0 - 1";"Week 1"
"CHF";"Av";"1 - 0";"Week 1"
"MMM";"LGC";"0 - 1";"Week 2"
"DW";"GRV";"1 - 0";"Week 2"
"PGG";"Av";"0 - 1";"Week 2"
"ORD";"CHF";"0 - 1";"Week 2"
"GRV";"PGG";"1 - 0";"Week 2"
"Av";"ORD";"0 - 1";"Week 2"
"LGC";"DW";"1 - 0";"Week 2"
"CHF";"MMM";"1 - 0";"Week 2"
"Av";"DW";"0 - 1";"Week 3"
"GRV";"LGC";"0 - 1";"Week 3"
"MMM";"Av";"0 - 1";"Week 3"
"DW";"CHF";"0 - 1";"Week 3"
"PGG";"ORD";"1 - 0";"Week 3"
"CHF";"GRV";"1 - 0";"Week 3"
"LGC";"PGG";"1 - 0";"Week 3"
"ORD";"MMM";"1 - 0";"Week 3"
"GRV";"ORD";"0 - 1";"Week 4"
"PGG";"MMM";"1 - 0";"Week 4"
"DW";"ORD";"1 - 0";"Week 4"
"LGC";"CHF";"0 - 1";"Week 4"
"LGC";"Av";"1 - 0";"Week 4"
"CHF";"PGG";"1 - 0";"Week 4"
"GRV";"Av";"0 - 1";"Week 4"
"DW";"MMM";"1 - 0";"Week 4"
"Av";"CHF";"0 - 1";"Week 5"
"ORD";"LGC";"0 - 1";"Week 5"
"MMM";"GRV";"1 - 0";"Week 5"
"PGG";"DW";"0 - 1";"Week 5"
"CHF";"ORD";"1 - 0";"Week 5"
"GRV";"DW";"0 - 1";"Week 5"
"Av";"PGG";"0 - 1";"Week 5"
"LGC";"MMM";"1 - 0";"Week 5"
"ORD";"PGG";"1 - 0";"Week 6"
"Av";"MMM";"0 - 1";"Week 6"
"DW";"LGC";"0 - 1";"Week 6"
"ORD";"Av";"1 - 0";"Week 6"
"LGC";"GRV";"0 - 1";"Week 6"
"MMM";"CHF";"0 - 1";"Week 6"
"PGG";"GRV";"1 - 0";"Week 6"
"CHF";"DW";"0 - 1";"Week 6"
"DW";"Av";"1 - 0";"Week 7"
"PGG";"LGC";"1 - 0";"Week 7"
"Av";"GRV";"1 - 0";"Week 7"
"CHF";"LGC";"0 - 1";"Week 7"
"Av";"LGC";"0 - 1";"Week 8"
"ORD";"GRV";"1 - 0";"Week 8"
"PGG";"CHF";"0 - 1";"Week 8"
"MMM";"DW";"0 - 1";"Week 8"
"CHF";"Av";"0 - 1";"Week 8"
"LGC";"ORD";"1 - 0";"Week 8"
"DW";"PGG";"1 - 0";"Week 8"
"GRV";"MMM";"1 - 0";"Week 8"
"PGG";"Av";"0 - 1";"Week 9"
"DW";"GRV";"0 - 1";"Week 9"
"MMM";"PGG";"1 - 0";"Week 9"
"ORD";"DW";"0 - 1";"Week 9"
"MMM";"LGC";"0 - 1";"Week 9"
"ORD";"CHF";"0 - 1";"Week 9"
"Av";"ORD";"0 - 1";"Week 9"
"GRV";"CHF";"0 - 1";"Week 9"
"MMM";"ORD";"0 - 1";"Week 9"
"GRV";"PGG";"1 - 0";"Week 9"
"CHF";"MMM";"1 - 0";"Week 9"
"LGC";"DW";"1 - 0";"Week 9"
"MMM";"Av";"1 - 0";"Week 10"
"GRV";"LGC";"0 - 1";"Week 10"
"PGG";"ORD";"0 - 1";"Week 10"
"DW";"CHF";"0 - 1";"Week 10"
"LGC";"PGG";"1 - 0";"Week 10"
"Av";"DW";"1 - 0";"Week 10"
"GRV";"Av";"0 - 1";"Week 10"
"ORD";"MMM";"1 - 0";"Week 10"
"CHF";"GRV";"1 - 0";"Week 10"
"DW";"ORD";"0 - 1";"Week 10"
"PGG";"MMM";"1 - 0";"Week 10"
"LGC";"CHF";"1 - 0";"Week 10"
