"Team 1";"Team 2";"Score";"Etapa"
"JT";"ahq";"0 - 1";"Week 1"
"RSG";"BJD";"0 - 1";"Week 1"
"LYB";"HKA";"1 - 0";"Week 1"
"RSG";"MCX";"0 - 1";"Week 1"
"TLN";"NOV";"1 - 0";"Week 1"
"RSG";"NOV";"0 - 1";"Week 1"
"HKA";"JT";"0 - 1";"Week 1"
"LYB";"TLN";"0 - 1";"Week 1"
"ahq";"BJD";"1 - 0";"Week 1"
"TLN";"MCX";"1 - 0";"Week 1"
"NOV";"JT";"1 - 0";"Week 2"
"HKA";"RSG";"1 - 0";"Week 2"
"ALF";"ahq";"0 - 1";"Week 2"
"TLN";"HKA";"1 - 0";"Week 2"
"BJD";"LYB";"0 - 1";"Week 2"
"ahq";"MCX";"1 - 0";"Week 2"
"ALF";"JT";"0 - 1";"Week 2"
"NOV";"MCX";"0 - 1";"Week 2"
"RSG";"JT";"0 - 1";"Week 2"
"MCX";"LYB";"1 - 0";"Week 2"
"BJD";"HKA";"1 - 0";"Week 2"
"ahq";"LYB";"1 - 0";"Week 2"
"TLN";"ALF";"0 - 1";"Week 2"
"ALF";"BJD";"0 - 1";"Week 2"
"MCX";"ALF";"0 - 1";"Week 2"
"ahq";"RSG";"1 - 0";"Week 2"
"NOV";"LYB";"0 - 1";"Week 2"
"BJD";"MCX";"0 - 1";"Week 2"
"HKA";"NOV";"1 - 0";"Week 2"
"JT";"TLN";"1 - 0";"Week 2"
"NOV";"ahq";"0 - 1";"Week 3"
"JT";"LYB";"0 - 1";"Week 3"
"ALF";"RSG";"1 - 0";"Week 3"
"MCX";"JT";"1 - 0";"Week 3"
"HKA";"ALF";"0 - 1";"Week 3"
"BJD";"TLN";"0 - 1";"Week 3"
"MCX";"HKA";"1 - 0";"Week 3"
"ALF";"NOV";"0 - 1";"Week 3"
"NOV";"BJD";"0 - 1";"Week 3"
"ahq";"TLN";"0 - 1";"Week 3"
"JT";"BJD";"0 - 1";"Week 3"
"LYB";"RSG";"0 - 1";"Week 3"
"LYB";"ALF";"0 - 1";"Week 3"
"HKA";"ahq";"0 - 1";"Week 3"
"TLN";"RSG";"1 - 0";"Week 3"
"HKA";"BJD";"0 - 1";"Week 3"
"MCX";"ahq";"1 - 0";"Week 3"
"JT";"NOV";"0 - 1";"Week 3"
"MCX";"TLN";"1 - 0";"Week 4"
"ahq";"NOV";"0 - 1";"Week 4"
"JT";"HKA";"0 - 1";"Week 4"
"RSG";"ahq";"0 - 1";"Week 4"
"BJD";"ALF";"1 - 0";"Week 4"
"BJD";"RSG";"1 - 0";"Week 4"
"MCX";"NOV";"1 - 0";"Week 4"
"LYB";"BJD";"1 - 0";"Week 4"
"ahq";"JT";"1 - 0";"Week 4"
"HKA";"LYB";"1 - 0";"Week 4"
"ALF";"TLN";"1 - 0";"Week 4"
"ALF";"LYB";"1 - 0";"Week 4"
"BJD";"ahq";"0 - 1";"Week 4"
"MCX";"RSG";"1 - 0";"Week 4"
"TLN";"JT";"0 - 1";"Week 4"
"RSG";"HKA";"0 - 1";"Week 4"
"NOV";"TLN";"0 - 1";"Week 4"
"LYB";"JT";"0 - 1";"Week 4"
"NOV";"HKA";"1 - 0";"Week 5"
"ALF";"MCX";"0 - 1";"Week 5"
"JT";"RSG";"0 - 1";"Week 5"
"MCX";"BJD";"1 - 0";"Week 5"
"NOV";"RSG";"0 - 1";"Week 5"
"BJD";"JT";"1 - 0";"Week 5"
"NOV";"ALF";"1 - 0";"Week 5"
"ALF";"HKA";"0 - 1";"Week 5"
"TLN";"ahq";"1 - 0";"Week 5"
"JT";"ALF";"0 - 1";"Week 5"
"TLN";"BJD";"1 - 0";"Week 5"
"RSG";"ALF";"1 - 0";"Week 5"
"HKA";"MCX";"0 - 1";"Week 5"
"ahq";"HKA";"1 - 0";"Week 5"
"LYB";"ahq";"0 - 1";"Week 6"
"TLN";"LYB";"1 - 0";"Week 6"
"LYB";"MCX";"0 - 1";"Week 6"
"LYB";"NOV";"1 - 0";"Week 6"
"RSG";"LYB";"1 - 0";"Week 6"
"BJD";"NOV";"1 - 0";"Week 6"
"RSG";"TLN";"0 - 1";"Week 6"
"ahq";"ALF";"1 - 0";"Week 6"
"HKA";"TLN";"0 - 1";"Week 6"
"JT";"MCX";"0 - 1";"Week 6"
"LYB";"HKA";"0 - 1";"Tiebreakers"
"JT";"HKA";"1 - 0";"Tiebreakers"
