"Team 1";"Team 2";"Score";"Etapa"
"RY";"SUP";"0 - 1";"Week 1"
"DP";"IW";"1 - 0";"Week 1"
"FB";"5R";"1 - 0";"Week 1"
"GAL";"BJK";"1 - 0";"Week 1"
"5R";"DP";"0 - 1";"Week 1"
"IW";"RY";"0 - 1";"Week 1"
"GAL";"FB";"0 - 1";"Week 1"
"AUR";"SUP";"1 - 0";"Week 1"
"RY";"AUR";"0 - 1";"Week 2"
"SUP";"BJK";"0 - 1";"Week 2"
"DP";"GAL";"1 - 0";"Week 2"
"IW";"5R";"0 - 1";"Week 2"
"5R";"RY";"0 - 1";"Week 2"
"FB";"SUP";"1 - 0";"Week 2"
"BJK";"AUR";"1 - 0";"Week 2"
"GAL";"IW";"0 - 1";"Week 2"
"AUR";"FB";"0 - 1";"Week 3"
"5R";"GAL";"0 - 1";"Week 3"
"RY";"BJK";"1 - 0";"Week 3"
"SUP";"DP";"1 - 0";"Week 3"
"FB";"BJK";"0 - 1";"Week 3"
"GAL";"RY";"0 - 1";"Week 3"
"DP";"AUR";"1 - 0";"Week 3"
"SUP";"IW";"1 - 0";"Week 3"
"BJK";"DP";"0 - 1";"Week 4"
"RY";"FB";"0 - 1";"Week 4"
"5R";"SUP";"0 - 1";"Week 4"
"AUR";"IW";"0 - 1";"Week 4"
"SUP";"GAL";"1 - 0";"Week 4"
"AUR";"5R";"1 - 0";"Week 4"
"IW";"BJK";"0 - 1";"Week 4"
"DP";"FB";"1 - 0";"Week 4"
"GAL";"AUR";"1 - 0";"Week 5"
"BJK";"5R";"0 - 1";"Week 5"
"RY";"DP";"0 - 1";"Week 5"
"FB";"IW";"1 - 0";"Week 5"
"BJK";"GAL";"0 - 1";"Week 5"
"IW";"DP";"1 - 0";"Week 5"
"5R";"FB";"0 - 1";"Week 5"
"SUP";"RY";"1 - 0";"Week 5"
"GAL";"DP";"0 - 1";"Week 6"
"5R";"IW";"0 - 1";"Week 6"
"BJK";"SUP";"0 - 1";"Week 6"
"AUR";"RY";"1 - 0";"Week 6"
"FB";"AUR";"1 - 0";"Week 6"
"DP";"SUP";"0 - 1";"Week 6"
"GAL";"5R";"1 - 0";"Week 6"
"BJK";"RY";"1 - 0";"Week 6"
"RY";"IW";"0 - 1";"Week 7"
"DP";"5R";"1 - 0";"Week 7"
"SUP";"AUR";"1 - 0";"Week 7"
"FB";"GAL";"1 - 0";"Week 7"
"SUP";"5R";"1 - 0";"Week 7"
"FB";"RY";"1 - 0";"Week 7"
"IW";"AUR";"0 - 1";"Week 7"
"DP";"BJK";"0 - 1";"Week 7"
"AUR";"DP";"0 - 1";"Week 8"
"IW";"SUP";"1 - 0";"Week 8"
"RY";"GAL";"0 - 1";"Week 8"
"BJK";"FB";"0 - 1";"Week 8"
"IW";"GAL";"1 - 0";"Week 8"
"AUR";"BJK";"1 - 0";"Week 8"
"SUP";"FB";"0 - 1";"Week 8"
"RY";"5R";"0 - 1";"Week 8"
"BJK";"IW";"0 - 1";"Week 9"
"FB";"DP";"1 - 0";"Week 9"
"5R";"AUR";"0 - 1";"Week 9"
"GAL";"SUP";"1 - 0";"Week 9"
"DP";"RY";"1 - 0";"Week 9"
"AUR";"GAL";"0 - 1";"Week 9"
"IW";"FB";"1 - 0";"Week 9"
"5R";"BJK";"0 - 1";"Week 9"
"BJK";"AUR";"0 - 1";"Tiebreakers"
