"Team 1";"Team 2";"Score";"Etapa"
"FL";"EVS";"1 - 2";"Week 1"
"GAM";"CES";"2 - 0";"Week 1"
"VGA";"DBL";"2 - 1";"Week 1"
"LK";"FTV";"2 - 0";"Week 1"
"DBL";"LK";"2 - 0";"Week 1"
"FTV";"FL";"0 - 2";"Week 1"
"CES";"VGA";"2 - 1";"Week 2"
"EVS";"GAM";"0 - 2";"Week 2"
"LK";"CES";"2 - 1";"Week 2"
"VGA";"EVS";"0 - 2";"Week 2"
"FL";"GAM";"2 - 1";"Week 2"
"FTV";"DBL";"0 - 2";"Week 2"
"CES";"FTV";"2 - 0";"Week 3"
"GAM";"VGA";"2 - 0";"Week 3"
"EVS";"TS";"1 - 2";"Week 3"
"DBL";"FL";"1 - 2";"Week 3"
"DBL";"CES";"0 - 2";"Week 3"
"TS";"GAM";"0 - 2";"Week 3"
"FTV";"EVS";"1 - 2";"Week 4"
"FL";"VGA";"2 - 0";"Week 4"
"EVS";"DBL";"2 - 1";"Week 4"
"GAM";"FTV";"2 - 1";"Week 4"
"CES";"FL";"1 - 2";"Week 4"
"VGA";"TS";"0 - 2";"Week 4"
"FTV";"VGA";"2 - 1";"Week 5"
"FL";"TS";"0 - 2";"Week 5"
"CES";"EVS";"2 - 0";"Week 5"
"DBL";"GAM";"0 - 2";"Week 5"
"EVS";"FL";"1 - 2";"Week 5"
"CES";"GAM";"0 - 2";"Week 5"
"DBL";"VGA";"2 - 1";"Week 6"
"FTV";"TS";"0 - 2";"Week 6"
"TS";"DBL";"1 - 2";"Week 6"
"FL";"FTV";"2 - 1";"Week 6"
"VGA";"CES";"2 - 0";"Week 6"
"GAM";"EVS";"2 - 0";"Week 6"
"CES";"TS";"2 - 1";"Week 7"
"EVS";"VGA";"2 - 1";"Week 7"
"GAM";"FL";"2 - 1";"Week 7"
"DBL";"FTV";"2 - 0";"Week 7"
"FTV";"CES";"2 - 1";"Week 7"
"VGA";"GAM";"0 - 2";"Week 7"
"TS";"EVS";"1 - 2";"Week 8"
"FL";"DBL";"2 - 1";"Week 8"
"CES";"DBL";"2 - 0";"Week 8"
"GAM";"TS";"2 - 1";"Week 8"
"EVS";"FTV";"2 - 0";"Week 8"
"VGA";"FL";"0 - 2";"Week 8"
"DBL";"EVS";"0 - 2";"Week 9"
"FTV";"GAM";"0 - 2";"Week 9"
"FL";"CES";"2 - 0";"Week 9"
"TS";"VGA";"2 - 0";"Week 9"
"VGA";"FTV";"1 - 2";"Week 9"
"TS";"FL";"2 - 0";"Week 9"
"EVS";"CES";"1 - 2";"Week 9"
"GAM";"DBL";"2 - 0";"Week 9"
