"Team 1";"Team 2";"Score";"Etapa"
"RoX";"UOL";"0 - 1";"Week 1"
"VEG";"OBG";"0 - 1";"Week 1"
"GMB";"CC";"1 - 0";"Week 1"
"EPG";"DA";"0 - 1";"Week 1"
"CC";"UOL";"0 - 1";"Week 1"
"VEG";"EPG";"0 - 1";"Week 1"
"OBG";"DA";"1 - 0";"Week 1"
"GMB";"RoX";"1 - 0";"Week 1"
"GMB";"EPG";"1 - 0";"Week 2"
"CC";"VEG";"1 - 0";"Week 2"
"DA";"UOL";"0 - 1";"Week 2"
"OBG";"RoX";"1 - 0";"Week 2"
"CC";"EPG";"1 - 0";"Week 2"
"GMB";"VEG";"1 - 0";"Week 2"
"UOL";"OBG";"1 - 0";"Week 2"
"DA";"RoX";"1 - 0";"Week 2"
"CC";"DA";"1 - 0";"Week 3"
"EPG";"OBG";"0 - 1";"Week 3"
"UOL";"GMB";"1 - 0";"Week 3"
"RoX";"VEG";"1 - 0";"Week 3"
"OBG";"GMB";"0 - 1";"Week 3"
"RoX";"CC";"0 - 1";"Week 3"
"UOL";"EPG";"1 - 0";"Week 3"
"VEG";"DA";"0 - 1";"Week 3"
"DA";"GMB";"0 - 1";"Week 4"
"OBG";"CC";"0 - 1";"Week 4"
"EPG";"RoX";"0 - 1";"Week 4"
"UOL";"VEG";"1 - 0";"Week 4"
"CC";"GMB";"0 - 1";"Week 4"
"DA";"EPG";"1 - 0";"Week 4"
"UOL";"RoX";"1 - 0";"Week 4"
"OBG";"VEG";"1 - 0";"Week 4"
"UOL";"CC";"1 - 0";"Week 5"
"DA";"OBG";"0 - 1";"Week 5"
"EPG";"VEG";"0 - 1";"Week 5"
"RoX";"GMB";"0 - 1";"Week 5"
"VEG";"CC";"0 - 1";"Week 5"
"EPG";"GMB";"0 - 1";"Week 5"
"RoX";"OBG";"0 - 1";"Week 5"
"UOL";"DA";"1 - 0";"Week 5"
"OBG";"UOL";"0 - 1";"Week 6"
"EPG";"CC";"0 - 1";"Week 6"
"VEG";"GMB";"0 - 1";"Week 6"
"RoX";"DA";"0 - 1";"Week 6"
"VEG";"RoX";"0 - 1";"Week 6"
"OBG";"EPG";"1 - 0";"Week 6"
"DA";"CC";"0 - 1";"Week 6"
"GMB";"UOL";"0 - 1";"Week 6"
"CC";"RoX";"1 - 0";"Week 7"
"GMB";"OBG";"1 - 0";"Week 7"
"DA";"VEG";"FF - W";"Week 7"
"EPG";"UOL";"0 - 1";"Week 7"
"CC";"OBG";"0 - 1";"Week 7"
"VEG";"UOL";"0 - 1";"Week 7"
"GMB";"DA";"1 - 0";"Week 7"
"RoX";"EPG";"0 - 1";"Week 7"
"VEG";"EPG";"0 - 1";"Tiebreakers"
