"Team 1";"Team 2";"Score";"Etapa"
"100";"EG";"0 - 1";"Week 1"
"FLY";"C9";"0 - 1";"Week 1"
"EG";"CLG";"1 - 0";"Week 1"
"TSM";"TL";"0 - 1";"Week 1"
"IMT";"FLY";"0 - 1";"Week 1"
"GG";"DIG";"1 - 0";"Week 1"
"C9";"100";"1 - 0";"Week 1"
"DIG";"TSM";"0 - 1";"Week 1"
"TL";"GG";"1 - 0";"Week 1"
"CLG";"IMT";"1 - 0";"Week 1"
"GG";"CLG";"0 - 1";"Week 2"
"IMT";"TSM";"0 - 1";"Week 2"
"100";"TL";"0 - 1";"Week 2"
"FLY";"TSM";"1 - 0";"Week 2"
"C9";"EG";"1 - 0";"Week 2"
"CLG";"DIG";"1 - 0";"Week 2"
"TL";"EG";"0 - 1";"Week 2"
"FLY";"DIG";"1 - 0";"Week 2"
"GG";"C9";"0 - 1";"Week 2"
"100";"IMT";"1 - 0";"Week 2"
"FLY";"CLG";"1 - 0";"Week 3"
"TL";"C9";"0 - 1";"Week 3"
"100";"CLG";"0 - 1";"Week 3"
"TSM";"EG";"1 - 0";"Week 3"
"TL";"DIG";"1 - 0";"Week 3"
"GG";"IMT";"0 - 1";"Week 3"
"100";"TSM";"0 - 1";"Week 3"
"IMT";"C9";"0 - 1";"Week 3"
"GG";"FLY";"1 - 0";"Week 3"
"DIG";"EG";"0 - 1";"Week 3"
"100";"GG";"0 - 1";"Week 4"
"CLG";"C9";"0 - 1";"Week 4"
"GG";"TSM";"0 - 1";"Week 4"
"100";"DIG";"1 - 0";"Week 4"
"FLY";"EG";"1 - 0";"Week 4"
"TL";"IMT";"1 - 0";"Week 4"
"DIG";"C9";"0 - 1";"Week 4"
"FLY";"TL";"0 - 1";"Week 4"
"CLG";"TSM";"0 - 1";"Week 4"
"IMT";"EG";"0 - 1";"Week 4"
"DIG";"IMT";"1 - 0";"Week 5"
"100";"FLY";"1 - 0";"Week 5"
"GG";"EG";"1 - 0";"Week 5"
"C9";"TSM";"1 - 0";"Week 5"
"TL";"CLG";"1 - 0";"Week 5"
"FLY";"DIG";"0 - 1";"Week 5"
"IMT";"TSM";"1 - 0";"Week 5"
"100";"C9";"1 - 0";"Week 5"
"GG";"TL";"0 - 1";"Week 5"
"CLG";"EG";"1 - 0";"Week 5"
"100";"TSM";"0 - 1";"Week 6"
"TL";"EG";"1 - 0";"Week 6"
"CLG";"DIG";"0 - 1";"Week 6"
"C9";"EG";"0 - 1";"Week 6"
"FLY";"TSM";"1 - 0";"Week 6"
"GG";"IMT";"1 - 0";"Week 6"
"100";"TL";"0 - 1";"Week 6"
"FLY";"C9";"0 - 1";"Week 6"
"CLG";"IMT";"0 - 1";"Week 6"
"GG";"DIG";"1 - 0";"Week 6"
"IMT";"EG";"0 - 1";"Week 7"
"FLY";"TL";"1 - 0";"Week 7"
"100";"CLG";"1 - 0";"Week 7"
"DIG";"TSM";"0 - 1";"Week 7"
"GG";"FLY";"0 - 1";"Week 7"
"IMT";"C9";"0 - 1";"Week 7"
"DIG";"EG";"1 - 0";"Week 7"
"TL";"C9";"1 - 0";"Week 7"
"CLG";"TSM";"0 - 1";"Week 7"
"100";"GG";"0 - 1";"Week 7"
"TL";"DIG";"1 - 0";"Week 8"
"TSM";"EG";"1 - 0";"Week 8"
"100";"FLY";"0 - 1";"Week 8"
"GG";"C9";"1 - 0";"Week 8"
"TL";"CLG";"1 - 0";"Week 8"
"DIG";"IMT";"0 - 1";"Week 8"
"GG";"CLG";"1 - 0";"Week 8"
"C9";"TSM";"0 - 1";"Week 8"
"FLY";"EG";"1 - 0";"Week 8"
"100";"IMT";"1 - 0";"Week 8"
"DIG";"C9";"0 - 1";"Week 9"
"GG";"TSM";"0 - 1";"Week 9"
"100";"DIG";"0 - 1";"Week 9"
"GG";"EG";"0 - 1";"Week 9"
"TL";"IMT";"1 - 0";"Week 9"
"FLY";"CLG";"1 - 0";"Week 9"
"100";"EG";"1 - 0";"Week 9"
"CLG";"C9";"0 - 1";"Week 9"
"TL";"TSM";"1 - 0";"Week 9"
"FLY";"IMT";"1 - 0";"Week 9"
"CLG";"DIG";"0 - 1";"Tiebreakers"
