"Team 1";"Team 2";"Score";"Etapa"
"MAD";"G2";"0 - 1";"Week 1"
"VIT";"S04";"1 - 0";"Week 1"
"OG";"SK";"0 - 1";"Week 1"
"RGE";"XL";"1 - 0";"Week 1"
"MSF";"FNC";"0 - 1";"Week 1"
"S04";"SK";"0 - 1";"Week 1"
"RGE";"MSF";"1 - 0";"Week 1"
"XL";"MAD";"0 - 1";"Week 1"
"FNC";"VIT";"1 - 0";"Week 1"
"G2";"OG";"0 - 1";"Week 1"
"SK";"MAD";"0 - 1";"Week 1"
"S04";"RGE";"0 - 1";"Week 1"
"OG";"MSF";"0 - 1";"Week 1"
"G2";"VIT";"0 - 1";"Week 1"
"FNC";"XL";"1 - 0";"Week 1"
"VIT";"RGE";"0 - 1";"Week 2"
"MSF";"SK";"0 - 1";"Week 2"
"G2";"S04";"1 - 0";"Week 2"
"OG";"XL";"1 - 0";"Week 2"
"FNC";"MAD";"0 - 1";"Week 2"
"SK";"XL";"0 - 1";"Week 2"
"MSF";"S04";"1 - 0";"Week 2"
"VIT";"MAD";"0 - 1";"Week 2"
"G2";"RGE";"1 - 0";"Week 2"
"FNC";"OG";"0 - 1";"Week 2"
"S04";"XL";"0 - 1";"Week 3"
"VIT";"MSF";"0 - 1";"Week 3"
"G2";"SK";"0 - 1";"Week 3"
"MAD";"OG";"1 - 0";"Week 3"
"FNC";"RGE";"0 - 1";"Week 3"
"VIT";"SK";"1 - 0";"Week 3"
"MSF";"XL";"1 - 0";"Week 3"
"OG";"S04";"1 - 0";"Week 3"
"MAD";"RGE";"1 - 0";"Week 3"
"G2";"FNC";"1 - 0";"Week 3"
"VIT";"XL";"0 - 1";"Week 4"
"MAD";"S04";"1 - 0";"Week 4"
"FNC";"SK";"1 - 0";"Week 4"
"RGE";"OG";"1 - 0";"Week 4"
"MSF";"G2";"0 - 1";"Week 4"
"RGE";"SK";"1 - 0";"Week 4"
"VIT";"OG";"1 - 0";"Week 4"
"FNC";"S04";"0 - 1";"Week 4"
"G2";"XL";"0 - 1";"Week 4"
"MSF";"MAD";"1 - 0";"Week 4"
"VIT";"SK";"0 - 1";"Week 5"
"RGE";"S04";"1 - 0";"Week 5"
"MSF";"FNC";"0 - 1";"Week 5"
"MAD";"XL";"1 - 0";"Week 5"
"G2";"OG";"0 - 1";"Week 5"
"SK";"S04";"1 - 0";"Week 5"
"RGE";"XL";"1 - 0";"Week 5"
"MSF";"OG";"0 - 1";"Week 5"
"VIT";"FNC";"0 - 1";"Week 5"
"G2";"MAD";"0 - 1";"Week 5"
"SK";"XL";"0 - 1";"Week 6"
"VIT";"OG";"1 - 0";"Week 6"
"G2";"S04";"0 - 1";"Week 6"
"MSF";"RGE";"0 - 1";"Week 6"
"FNC";"MAD";"0 - 1";"Week 6"
"VIT";"XL";"0 - 1";"Week 6"
"MSF";"S04";"0 - 1";"Week 6"
"MAD";"SK";"0 - 1";"Week 6"
"FNC";"OG";"1 - 0";"Week 6"
"G2";"RGE";"1 - 0";"Week 6"
"S04";"XL";"1 - 0";"Week 7"
"MSF";"SK";"1 - 0";"Week 7"
"MAD";"OG";"1 - 0";"Week 7"
"VIT";"G2";"0 - 1";"Week 7"
"FNC";"RGE";"0 - 1";"Week 7"
"OG";"S04";"0 - 1";"Week 7"
"MSF";"XL";"0 - 1";"Week 7"
"RGE";"SK";"0 - 1";"Week 7"
"VIT";"MAD";"1 - 0";"Week 7"
"G2";"FNC";"1 - 0";"Week 7"
"VIT";"RGE";"1 - 0";"Week 8"
"OG";"XL";"0 - 1";"Week 8"
"FNC";"S04";"0 - 1";"Week 8"
"MSF";"MAD";"0 - 1";"Week 8"
"G2";"SK";"1 - 0";"Week 8"
"VIT";"S04";"0 - 1";"Week 8"
"OG";"SK";"0 - 1";"Week 8"
"FNC";"XL";"1 - 0";"Week 8"
"MSF";"G2";"0 - 1";"Week 8"
"MAD";"RGE";"0 - 1";"Week 8"
"VIT";"MSF";"0 - 1";"Week 8"
"MAD";"S04";"0 - 1";"Week 8"
"RGE";"OG";"1 - 0";"Week 8"
"G2";"XL";"1 - 0";"Week 8"
"FNC";"SK";"1 - 0";"Week 8"
