"Team 1";"Team 2";"Score";"Etapa"
"AXZ";"CGA";"0 - 1";"Week 1"
"V3";"AXZ";"1 - 0";"Week 1"
"CGA";"BC";"1 - 0";"Week 1"
"BC";"V3";"0 - 1";"Week 1"
"SG";"RJ";"1 - 0";"Week 1"
"DFM";"SG";"0 - 1";"Week 1"
"SHG";"DFM";"0 - 1";"Week 1"
"RJ";"SHG";"0 - 1";"Week 1"
"SG";"SHG";"1 - 0";"Week 2"
"V3";"SG";"1 - 0";"Week 2"
"CGA";"V3";"0 - 1";"Week 2"
"SHG";"CGA";"0 - 1";"Week 2"
"RJ";"DFM";"0 - 1";"Week 2"
"BC";"RJ";"1 - 0";"Week 2"
"AXZ";"BC";"0 - 1";"Week 2"
"DFM";"AXZ";"1 - 0";"Week 2"
"SHG";"BC";"1 - 0";"Week 3"
"V3";"SHG";"1 - 0";"Week 3"
"DFM";"V3";"0 - 1";"Week 3"
"BC";"DFM";"0 - 1";"Week 3"
"AXZ";"SG";"0 - 1";"Week 3"
"RJ";"AXZ";"1 - 0";"Week 3"
"CGA";"RJ";"1 - 0";"Week 3"
"SG";"CGA";"0 - 1";"Week 3"
"SHG";"RJ";"0 - 1";"Week 4"
"RJ";"V3";"0 - 1";"Week 4"
"SHG";"AXZ";"1 - 0";"Week 4"
"AXZ";"V3";"0 - 1";"Week 4"
"BC";"CGA";"1 - 0";"Week 4"
"BC";"SG";"0 - 1";"Week 4"
"DFM";"CGA";"0 - 1";"Week 4"
"SG";"DFM";"1 - 0";"Week 4"
"SG";"AXZ";"0 - 1";"Week 5"
"RJ";"SG";"0 - 1";"Week 5"
"RJ";"BC";"0 - 1";"Week 5"
"BC";"AXZ";"1 - 0";"Week 5"
"V3";"DFM";"1 - 0";"Week 5"
"V3";"CGA";"0 - 1";"Week 5"
"CGA";"SHG";"1 - 0";"Week 5"
"DFM";"SHG";"0 - 1";"Week 5"
"SG";"BC";"1 - 0";"Week 6"
"SHG";"SG";"1 - 0";"Week 6"
"SHG";"V3";"0 - 1";"Week 6"
"DFM";"BC";"0 - 1";"Week 6"
"V3";"RJ";"1 - 0";"Week 6"
"RJ";"CGA";"0 - 1";"Week 6"
"AXZ";"DFM";"0 - 1";"Week 6"
"CGA";"AXZ";"0 - 1";"Week 6"
"DFM";"RJ";"1 - 0";"Week 7"
"CGA";"DFM";"0 - 1";"Week 7"
"CGA";"SG";"0 - 1";"Week 7"
"AXZ";"RJ";"1 - 0";"Week 7"
"SG";"V3";"1 - 0";"Week 7"
"V3";"BC";"1 - 0";"Week 7"
"AXZ";"SHG";"0 - 1";"Week 7"
"BC";"SHG";"0 - 1";"Week 7"
"DFM";"SHG";"1 - 0";"Tiebreakers"
