"Team 1";"Team 2";"Score";"Etapa"
"EDG";"WE";"1 - 2";"Week 1"
"LNG";"SN";"0 - 2";"Week 1"
"V5";"DMO";"2 - 0";"Week 1"
"OMG";"RNG";"0 - 2";"Week 1"
"WE";"SN";"1 - 2";"Week 1"
"BLG";"VG";"0 - 2";"Week 1"
"OMG";"V5";"1 - 2";"Week 2"
"LGD";"ES";"2 - 1";"Week 2"
"FPX";"LNG";"1 - 2";"Week 2"
"RW";"TES";"0 - 2";"Week 2"
"VG";"RNG";"0 - 2";"Week 2"
"SN";"JDG";"0 - 2";"Week 2"
"DMO";"ES";"0 - 2";"Week 2"
"WE";"iG";"2 - 0";"Week 2"
"RNG";"LNG";"0 - 2";"Week 2"
"FPX";"BLG";"2 - 0";"Week 2"
"V5";"LGD";"1 - 2";"Week 2"
"OMG";"EDG";"0 - 2";"Week 2"
"SN";"iG";"0 - 2";"Week 2"
"JDG";"TES";"0 - 2";"Week 2"
"BLG";"ES";"2 - 1";"Week 3"
"VG";"WE";"0 - 2";"Week 3"
"LGD";"DMO";"2 - 0";"Week 3"
"TES";"OMG";"2 - 1";"Week 3"
"iG";"RW";"2 - 0";"Week 3"
"EDG";"SN";"2 - 1";"Week 3"
"V5";"BLG";"2 - 1";"Week 3"
"JDG";"RNG";"1 - 2";"Week 3"
"ES";"LNG";"2 - 0";"Week 3"
"FPX";"WE";"2 - 1";"Week 3"
"DMO";"OMG";"0 - 2";"Week 3"
"LGD";"TES";"0 - 2";"Week 3"
"SN";"RW";"2 - 0";"Week 3"
"iG";"EDG";"2 - 1";"Week 3"
"V5";"VG";"2 - 0";"Week 4"
"ES";"RNG";"1 - 2";"Week 4"
"DMO";"JDG";"0 - 2";"Week 4"
"LGD";"iG";"2 - 1";"Week 4"
"OMG";"LNG";"2 - 0";"Week 4"
"BLG";"TES";"0 - 2";"Week 4"
"RNG";"V5";"0 - 2";"Week 4"
"FPX";"iG";"1 - 2";"Week 4"
"RW";"WE";"0 - 2";"Week 4"
"TES";"EDG";"2 - 1";"Week 4"
"SN";"DMO";"2 - 1";"Week 4"
"ES";"FPX";"0 - 2";"Week 4"
"LNG";"VG";"1 - 2";"Week 4"
"JDG";"RW";"2 - 1";"Week 4"
