"Team 1";"Team 2";"Score";"Etapa"
"CHF";"PGG";"0 - 1";"Week 1"
"AV";"MMM";"1 - 0";"Week 1"
"ORD";"GRV";"1 - 0";"Week 1"
"LGC";"DW";"1 - 0";"Week 1"
"CHF";"GRV";"1 - 0";"Week 1"
"AV";"DW";"1 - 0";"Week 1"
"PGG";"MMM";"1 - 0";"Week 1"
"ORD";"LGC";"0 - 1";"Week 1"
"CHF";"AV";"1 - 0";"Week 2"
"LGC";"GRV";"1 - 0";"Week 2"
"DW";"MMM";"1 - 0";"Week 2"
"ORD";"PGG";"1 - 0";"Week 2"
"LGC";"MMM";"1 - 0";"Week 2"
"ORD";"CHF";"0 - 1";"Week 2"
"AV";"GRV";"0 - 1";"Week 2"
"DW";"PGG";"1 - 0";"Week 2"
"DW";"GRV";"1 - 0";"Week 3"
"CHF";"MMM";"1 - 0";"Week 3"
"LGC";"PGG";"1 - 0";"Week 3"
"ORD";"AV";"0 - 1";"Week 3"
"ORD";"MMM";"1 - 0";"Week 3"
"PGG";"GRV";"1 - 0";"Week 3"
"LGC";"AV";"1 - 0";"Week 3"
"CHF";"DW";"1 - 0";"Week 3"
"AV";"PGG";"0 - 1";"Week 4"
"ORD";"DW";"0 - 1";"Week 4"
"GRV";"MMM";"0 - 1";"Week 4"
"CHF";"LGC";"0 - 1";"Week 4"
"CHF";"PGG";"0 - 1";"Week 4"
"AV";"MMM";"1 - 0";"Week 4"
"ORD";"GRV";"1 - 0";"Week 4"
"LGC";"DW";"1 - 0";"Week 4"
"ORD";"LGC";"1 - 0";"Week 5"
"CHF";"GRV";"1 - 0";"Week 5"
"PGG";"MMM";"1 - 0";"Week 5"
"AV";"DW";"0 - 1";"Week 5"
"CHF";"AV";"1 - 0";"Week 5"
"LGC";"GRV";"1 - 0";"Week 5"
"DW";"MMM";"1 - 0";"Week 5"
"ORD";"PGG";"1 - 0";"Week 5"
"LGC";"MMM";"0 - 1";"Week 6"
"DW";"PGG";"1 - 0";"Week 6"
"AV";"GRV";"1 - 0";"Week 6"
"ORD";"CHF";"1 - 0";"Week 6"
"DW";"GRV";"1 - 0";"Week 6"
"CHF";"MMM";"0 - 1";"Week 6"
"LGC";"PGG";"0 - 1";"Week 6"
"ORD";"AV";"1 - 0";"Week 6"
"ORD";"MMM";"1 - 0";"Week 7"
"LGC";"AV";"1 - 0";"Week 7"
"CHF";"DW";"1 - 0";"Week 7"
"PGG";"GRV";"1 - 0";"Week 7"
"CHF";"LGC";"0 - 1";"Week 7"
"ORD";"DW";"1 - 0";"Week 7"
"AV";"PGG";"0 - 1";"Week 7"
"GRV";"MMM";"0 - 1";"Week 7"
"CHF";"PGG";"1 - 0";"Week 8"
"AV";"MMM";"1 - 0";"Week 8"
"ORD";"GRV";"1 - 0";"Week 8"
"LGC";"DW";"1 - 0";"Week 8"
"ORD";"LGC";"0 - 1";"Week 8"
"CHF";"GRV";"1 - 0";"Week 8"
"PGG";"MMM";"1 - 0";"Week 8"
"AV";"DW";"1 - 0";"Week 8"
"CHF";"AV";"1 - 0";"Week 9"
"LGC";"GRV";"1 - 0";"Week 9"
"DW";"MMM";"1 - 0";"Week 9"
"ORD";"PGG";"1 - 0";"Week 9"
"LGC";"MMM";"1 - 0";"Week 9"
"DW";"PGG";"0 - 1";"Week 9"
"AV";"GRV";"1 - 0";"Week 9"
"ORD";"CHF";"1 - 0";"Week 9"
"CHF";"MMM";"0 - 1";"Week 10"
"DW";"GRV";"1 - 0";"Week 10"
"ORD";"MMM";"1 - 0";"Week 10"
"PGG";"GRV";"1 - 0";"Week 10"
"ORD";"AV";"1 - 0";"Week 10"
"LGC";"PGG";"1 - 0";"Week 10"
"GRV";"MMM";"0 - 1";"Week 10"
"ORD";"DW";"0 - 1";"Week 10"
"LGC";"AV";"1 - 0";"Week 10"
"CHF";"DW";"0 - 1";"Week 10"
"AV";"PGG";"0 - 1";"Week 10"
"CHF";"LGC";"1 - 0";"Week 10"
