"Team 1";"Team 2";"Score";"Etapa"
"PSG";"MCX";"1 - 0";"Week 1"
"ALF";"JT";"0 - 1";"Week 1"
"PSG";"NOV";"1 - 0";"Week 1"
"RSG";"MCX";"0 - 1";"Week 1"
"LYB";"HKA";"0 - 1";"Week 1"
"ahq";"BJD";"1 - 0";"Week 1"
"RSG";"NOV";"0 - 1";"Week 1"
"JT";"ahq";"1 - 0";"Week 1"
"RSG";"BJD";"1 - 0";"Week 1"
"LYB";"PSG";"0 - 1";"Week 1"
"BJD";"MCX";"0 - 1";"Week 1"
"HKA";"ALF";"0 - 1";"Week 1"
"HKA";"RSG";"1 - 0";"Week 2"
"BJD";"LYB";"1 - 0";"Week 2"
"PSG";"HKA";"0 - 1";"Week 2"
"MCX";"JT";"0 - 1";"Week 2"
"ALF";"ahq";"0 - 1";"Week 2"
"NOV";"JT";"0 - 1";"Week 2"
"BJD";"HKA";"0 - 1";"Week 2"
"MCX";"LYB";"1 - 0";"Week 2"
"RSG";"JT";"0 - 1";"Week 2"
"ahq";"LYB";"0 - 1";"Week 2"
"PSG";"ALF";"1 - 0";"Week 2"
"NOV";"ahq";"0 - 1";"Week 2"
"NOV";"LYB";"1 - 0";"Week 3"
"MCX";"ALF";"1 - 0";"Week 3"
"HKA";"NOV";"0 - 1";"Week 3"
"ALF";"BJD";"0 - 1";"Week 3"
"ahq";"RSG";"1 - 0";"Week 3"
"JT";"PSG";"0 - 1";"Week 3"
"ALF";"RSG";"1 - 0";"Week 3"
"BJD";"PSG";"0 - 1";"Week 3"
"HKA";"JT";"0 - 1";"Week 3"
"NOV";"MCX";"0 - 1";"Week 3"
"JT";"LYB";"1 - 0";"Week 3"
"ahq";"MCX";"1 - 0";"Week 3"
"NOV";"BJD";"1 - 0";"Week 4"
"MCX";"HKA";"1 - 0";"Week 4"
"ALF";"NOV";"1 - 0";"Week 4"
"JT";"BJD";"1 - 0";"Week 4"
"ahq";"PSG";"1 - 0";"Week 4"
"LYB";"RSG";"1 - 0";"Week 4"
"PSG";"RSG";"1 - 0";"Week 4"
"HKA";"ahq";"0 - 1";"Week 4"
"LYB";"ALF";"0 - 1";"Week 4"
"HKA";"BJD";"0 - 1";"Week 4"
"MCX";"ahq";"1 - 0";"Week 4"
"JT";"NOV";"1 - 0";"Week 4"
"JT";"HKA";"1 - 0";"Week 5"
"MCX";"PSG";"1 - 0";"Week 5"
"ALF";"LYB";"1 - 0";"Week 5"
"ahq";"NOV";"1 - 0";"Week 5"
"PSG";"LYB";"0 - 1";"Week 5"
"BJD";"RSG";"1 - 0";"Week 5"
"ALF";"PSG";"0 - 1";"Week 5"
"ahq";"JT";"1 - 0";"Week 5"
"BJD";"ALF";"1 - 0";"Week 5"
"MCX";"RSG";"1 - 0";"Week 5"
"LYB";"NOV";"0 - 1";"Week 5"
"RSG";"HKA";"0 - 1";"Week 5"
"MCX";"NOV";"1 - 0";"Week 6"
"RSG";"ahq";"0 - 1";"Week 6"
"NOV";"PSG";"0 - 1";"Week 6"
"BJD";"ahq";"0 - 1";"Week 6"
"ALF";"HKA";"1 - 0";"Week 6"
"LYB";"JT";"0 - 1";"Week 6"
"LYB";"ahq";"0 - 1";"Week 6"
"NOV";"HKA";"0 - 1";"Week 6"
"JT";"RSG";"1 - 0";"Week 6"
"ALF";"MCX";"1 - 0";"Week 6"
"PSG";"JT";"1 - 0";"Week 6"
"MCX";"BJD";"1 - 0";"Week 6"
"BJD";"JT";"0 - 1";"Week 6"
"NOV";"ALF";"1 - 0";"Week 6"
"HKA";"LYB";"1 - 0";"Week 6"
"PSG";"ahq";"1 - 0";"Week 6"
"HKA";"MCX";"0 - 1";"Week 6"
"RSG";"PSG";"0 - 1";"Week 6"
"NOV";"RSG";"1 - 0";"Week 7"
"LYB";"MCX";"0 - 1";"Week 7"
"ahq";"HKA";"1 - 0";"Week 7"
"LYB";"BJD";"1 - 0";"Week 7"
"JT";"ALF";"1 - 0";"Week 7"
"PSG";"BJD";"1 - 0";"Week 7"
"ahq";"ALF";"1 - 0";"Week 7"
"HKA";"PSG";"0 - 1";"Week 7"
"RSG";"ALF";"1 - 0";"Week 7"
"JT";"MCX";"1 - 0";"Week 7"
"RSG";"LYB";"1 - 0";"Week 7"
"BJD";"NOV";"1 - 0";"Week 7"
"NOV";"HKA";"1 - 0";"Tiebreakers"
"ALF";"NOV";"1 - 0";"Tiebreakers"
"ahq";"PSG";"1 - 0";"Tiebreakers"
