"Team 1";"Team 2";"Score";"Etapa"
"FB";"IW";"0 - 1";"Week 1"
"DP";"AUR";"1 - 0";"Week 1"
"GAL";"BJK";"0 - 1";"Week 1"
"GS";"5R";"1 - 0";"Week 1"
"RYL";"SUP";"0 - 1";"Week 1"
"AUR";"FB";"0 - 1";"Week 1"
"SUP";"IW";"0 - 1";"Week 1"
"5R";"RYL";"0 - 1";"Week 1"
"GS";"GAL";"0 - 1";"Week 1"
"BJK";"DP";"1 - 0";"Week 1"
"FB";"SUP";"1 - 0";"Week 2"
"IW";"5R";"1 - 0";"Week 2"
"DP";"GS";"1 - 0";"Week 2"
"RYL";"GAL";"0 - 1";"Week 2"
"AUR";"BJK";"0 - 1";"Week 2"
"RYL";"DP";"0 - 1";"Week 2"
"GAL";"IW";"1 - 0";"Week 2"
"GS";"AUR";"1 - 0";"Week 2"
"5R";"SUP";"1 - 0";"Week 2"
"BJK";"FB";"1 - 0";"Week 2"
"SUP";"GAL";"1 - 0";"Week 3"
"BJK";"GS";"1 - 0";"Week 3"
"IW";"DP";"0 - 1";"Week 3"
"FB";"5R";"0 - 1";"Week 3"
"AUR";"RYL";"1 - 0";"Week 3"
"GAL";"5R";"0 - 1";"Week 3"
"RYL";"BJK";"0 - 1";"Week 3"
"IW";"AUR";"1 - 0";"Week 3"
"DP";"SUP";"0 - 1";"Week 3"
"GS";"FB";"0 - 1";"Week 3"
"SUP";"AUR";"1 - 0";"Week 4"
"GS";"RYL";"1 - 0";"Week 4"
"FB";"GAL";"0 - 1";"Week 4"
"BJK";"IW";"0 - 1";"Week 4"
"5R";"DP";"0 - 1";"Week 4"
"IW";"GS";"1 - 0";"Week 4"
"SUP";"BJK";"1 - 0";"Week 4"
"AUR";"5R";"1 - 0";"Week 4"
"RYL";"FB";"0 - 1";"Week 4"
"DP";"GAL";"0 - 1";"Week 4"
"GS";"SUP";"0 - 1";"Week 5"
"5R";"BJK";"1 - 0";"Week 5"
"FB";"DP";"1 - 0";"Week 5"
"GAL";"AUR";"1 - 0";"Week 5"
"RYL";"IW";"0 - 1";"Week 5"
"AUR";"DP";"0 - 1";"Week 5"
"5R";"GS";"1 - 0";"Week 5"
"SUP";"RYL";"1 - 0";"Week 5"
"BJK";"GAL";"0 - 1";"Week 5"
"IW";"FB";"1 - 0";"Week 5"
"RYL";"5R";"1 - 0";"Week 6"
"IW";"SUP";"1 - 0";"Week 6"
"DP";"BJK";"1 - 0";"Week 6"
"FB";"AUR";"1 - 0";"Week 6"
"GAL";"GS";"1 - 0";"Week 6"
"5R";"IW";"0 - 1";"Week 6"
"BJK";"AUR";"1 - 0";"Week 6"
"GAL";"RYL";"1 - 0";"Week 6"
"GS";"DP";"1 - 0";"Week 6"
"SUP";"FB";"0 - 1";"Week 6"
"DP";"RYL";"1 - 0";"Week 7"
"SUP";"5R";"0 - 1";"Week 7"
"IW";"GAL";"1 - 0";"Week 7"
"AUR";"GS";"0 - 1";"Week 7"
"FB";"BJK";"0 - 1";"Week 7"
"GAL";"SUP";"1 - 0";"Week 7"
"DP";"IW";"0 - 1";"Week 7"
"GS";"BJK";"1 - 0";"Week 7"
"5R";"FB";"1 - 0";"Week 7"
"RYL";"AUR";"0 - 1";"Week 7"
"BJK";"RYL";"1 - 0";"Week 8"
"AUR";"IW";"0 - 1";"Week 8"
"5R";"GAL";"0 - 1";"Week 8"
"FB";"GS";"0 - 1";"Week 8"
"SUP";"DP";"1 - 0";"Week 8"
"IW";"BJK";"1 - 0";"Week 8"
"RYL";"GS";"0 - 1";"Week 8"
"GAL";"FB";"1 - 0";"Week 8"
"AUR";"SUP";"0 - 1";"Week 8"
"DP";"5R";"0 - 1";"Week 8"
"5R";"AUR";"1 - 0";"Week 9"
"GAL";"DP";"1 - 0";"Week 9"
"FB";"RYL";"1 - 0";"Week 9"
"BJK";"SUP";"0 - 1";"Week 9"
"GS";"IW";"0 - 1";"Week 9"
"AUR";"GAL";"0 - 1";"Week 9"
"IW";"RYL";"1 - 0";"Week 9"
"SUP";"GS";"1 - 0";"Week 9"
"DP";"FB";"1 - 0";"Week 9"
"BJK";"5R";"0 - 1";"Week 9"
"DP";"BJK";"1 - 0";"Tiebreakers"
