"Team 1";"Team 2";"Score";"Etapa"
"SGB";"OPG";"1 - 2";"Week 1"
"FL";"PER";"0 - 2";"Week 1"
"TS";"CES";"0 - 2";"Week 1"
"GAM";"EVS";"2 - 1";"Week 1"
"CES";"FL";"2 - 0";"Week 1"
"EVS";"TS";"0 - 2";"Week 1"
"OPG";"GAM";"1 - 2";"Week 2"
"PER";"SGB";"0 - 2";"Week 2"
"GAM";"PER";"0 - 2";"Week 2"
"TS";"OPG";"2 - 0";"Week 2"
"FL";"SGB";"2 - 0";"Week 2"
"CES";"EVS";"2 - 0";"Week 2"
"OPG";"CES";"0 - 2";"Week 3"
"SGB";"GAM";"1 - 2";"Week 3"
"PER";"TS";"1 - 2";"Week 3"
"EVS";"FL";"1 - 2";"Week 3"
"EVS";"OPG";"2 - 0";"Week 3"
"TS";"SGB";"2 - 0";"Week 3"
"CES";"PER";"2 - 0";"Week 4"
"FL";"GAM";"2 - 1";"Week 4"
"PER";"EVS";"0 - 2";"Week 4"
"SGB";"CES";"1 - 2";"Week 4"
"OPG";"FL";"0 - 2";"Week 4"
"GAM";"TS";"2 - 1";"Week 4"
"CES";"GAM";"1 - 2";"Week 5"
"FL";"TS";"2 - 1";"Week 5"
"OPG";"PER";"1 - 2";"Week 5"
"EVS";"SGB";"2 - 0";"Week 5"
"OPG";"SGB";"0 - 2";"Week 5"
"PER";"FL";"1 - 2";"Week 5"
"CES";"TS";"0 - 2";"Week 6"
"EVS";"GAM";"0 - 2";"Week 6"
"FL";"CES";"2 - 0";"Week 6"
"TS";"EVS";"2 - 1";"Week 6"
"GAM";"OPG";"2 - 1";"Week 6"
"SGB";"PER";"2 - 0";"Week 6"
"PER";"GAM";"0 - 2";"Week 7"
"OPG";"TS";"1 - 2";"Week 7"
"SGB";"FL";"0 - 2";"Week 7"
"EVS";"CES";"2 - 1";"Week 7"
"CES";"OPG";"2 - 0";"Week 7"
"GAM";"SGB";"2 - 0";"Week 7"
"TS";"PER";"1 - 2";"Week 8"
"FL";"EVS";"2 - 0";"Week 8"
"OPG";"EVS";"0 - 2";"Week 8"
"SGB";"TS";"1 - 2";"Week 8"
"PER";"CES";"0 - 2";"Week 8"
"GAM";"FL";"2 - 1";"Week 8"
"EVS";"PER";"2 - 0";"Week 9"
"CES";"SGB";"2 - 1";"Week 9"
"FL";"OPG";"2 - 0";"Week 9"
"TS";"GAM";"0 - 2";"Week 9"
"GAM";"CES";"2 - 1";"Week 9"
"TS";"FL";"1 - 2";"Week 9"
"PER";"OPG";"0 - 2";"Week 9"
"SGB";"EVS";"0 - 2";"Week 9"
