"Team 1";"Team 2";"Score";"Etapa"
"CG";"UOL";"0 - 1";"Day 1"
"DFM";"SPY";"0 - 1";"Day 1"
"MMM";"UOL";"1 - 0";"Day 1"
"DFM";"ISG";"0 - 1";"Day 1"
"MMM";"CG";"0 - 1";"Day 1"
"SPY";"ISG";"1 - 0";"Day 1"
"RYL";"DWG";"0 - 1";"Day 2"
"MEGA";"HKA";"0 - 1";"Day 2"
"DWG";"FLA";"1 - 0";"Day 2"
"MEGA";"LK";"1 - 0";"Day 2"
"RYL";"FLA";"0 - 1";"Day 2"
"HKA";"LK";"0 - 1";"Day 2"
"UOL";"CG";"1 - 0";"Day 3"
"SPY";"DFM";"0 - 1";"Day 3"
"UOL";"MMM";"0 - 1";"Day 3"
"ISG";"DFM";"1 - 0";"Day 3"
"CG";"MMM";"1 - 0";"Day 3"
"ISG";"SPY";"0 - 1";"Day 3"
"DWG";"RYL";"1 - 0";"Day 4"
"HKA";"MEGA";"1 - 0";"Day 4"
"FLA";"DWG";"0 - 1";"Day 4"
"LK";"MEGA";"1 - 0";"Day 4"
"FLA";"RYL";"0 - 1";"Day 4"
"LK";"HKA";"0 - 1";"Day 4"
"UOL";"MMM";"1 - 0";"Tiebreakers"
"CG";"UOL";"1 - 0";"Tiebreakers"
"FLA";"RYL";"0 - 1";"Tiebreakers"
"DWG";"LK";"3 - 1";"Round 2"
"CG";"RYL";"3 - 0";"Round 2"
"HKA";"ISG";"3 - 1";"Round 2"
"SPY";"UOL";"3 - 2";"Round 2"
"FNC";"SKT";"0 - 1";"Day 1"
"RNG";"CG";"1 - 0";"Day 1"
"iG";"ahq";"1 - 0";"Day 1"
"DWG";"TL";"0 - 1";"Day 1"
"JT";"FPX";"1 - 0";"Day 1"
"GAM";"SPY";"0 - 1";"Day 1"
"SKT";"RNG";"1 - 0";"Day 2"
"FNC";"CG";"1 - 0";"Day 2"
"TL";"iG";"0 - 1";"Day 2"
"ahq";"DWG";"0 - 1";"Day 2"
"GRF";"G2";"0 - 1";"Day 2"
"C9";"HKA";"1 - 0";"Day 2"
"iG";"DWG";"0 - 1";"Day 3"
"ahq";"TL";"0 - 1";"Day 3"
"FPX";"SPY";"1 - 0";"Day 3"
"JT";"GAM";"0 - 1";"Day 3"
"GRF";"HKA";"1 - 0";"Day 3"
"G2";"C9";"1 - 0";"Day 3"
"RNG";"FNC";"1 - 0";"Day 4"
"CG";"SKT";"0 - 1";"Day 4"
"FPX";"GAM";"1 - 0";"Day 4"
"SPY";"JT";"0 - 1";"Day 4"
"C9";"GRF";"0 - 1";"Day 4"
"HKA";"G2";"0 - 1";"Day 4"
"GAM";"FPX";"0 - 1";"Day 5"
"JT";"SPY";"0 - 1";"Day 5"
"GAM";"JT";"0 - 1";"Day 5"
"SPY";"FPX";"1 - 0";"Day 5"
"SPY";"GAM";"1 - 0";"Day 5"
"FPX";"JT";"1 - 0";"Day 5"
"GRF";"C9";"1 - 0";"Day 6"
"G2";"HKA";"1 - 0";"Day 6"
"HKA";"GRF";"0 - 1";"Day 6"
"C9";"G2";"0 - 1";"Day 6"
"HKA";"C9";"0 - 1";"Day 6"
"G2";"GRF";"0 - 1";"Day 6"
"RNG";"SKT";"0 - 1";"Day 7"
"CG";"FNC";"0 - 1";"Day 7"
"SKT";"FNC";"0 - 1";"Day 7"
"CG";"RNG";"0 - 1";"Day 7"
"SKT";"CG";"1 - 0";"Day 7"
"FNC";"RNG";"1 - 0";"Day 7"
"ahq";"iG";"0 - 1";"Day 8"
"TL";"DWG";"0 - 1";"Day 8"
"TL";"ahq";"1 - 0";"Day 8"
"DWG";"iG";"1 - 0";"Day 8"
"DWG";"ahq";"1 - 0";"Day 8"
"iG";"TL";"1 - 0";"Day 8"
"FPX";"SPY";"1 - 0";"Tiebreakers"
"G2";"GRF";"0 - 1";"Tiebreakers"
"GRF";"iG";"1 - 3";"Quarterfinals"
"FPX";"FNC";"3 - 1";"Quarterfinals"
"SKT";"SPY";"3 - 1";"Quarterfinals"
"DWG";"G2";"1 - 3";"Quarterfinals"
"iG";"FPX";"1 - 3";"Semifinals"
"G2";"SKT";"3 - 1";"Semifinals"
"G2";"FPX";"0 - 3";"Finals"
